time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,trace,max_rank,mean_rank
0.0,1.0000000032000003,0.0,0.0,0.0,0.0,1.0000000031447212,1,1.0
1.0,0.9888072262544129,0.005568501969185767,2.7948829380271595e-5,2.79455058938304e-5,0.005568382336439939,1.0000000048400333,8,6.411764705882353
2.0,0.9569800502294165,0.0212261339280096,0.0002635562694390696,0.00026311404133408866,0.021267152153765637,1.0000000065666865,10,8.058823529411764
3.0,0.9092194011540808,0.0445715650791596,0.0008419592587049565,0.0008386499042517296,0.044528432961287695,1.0000000083022063,12,8.529411764705882
4.0,0.8516051298561834,0.0721423421140823,0.0020919280867233926,0.0020799421622180476,0.0720806678897989,1.0000000100537276,16,10.0
5.0,0.789972457959565,0.1007916709499616,0.00433352252701682,0.0043066931000629895,0.10059566733497854,1.0000000118163062,17,10.588235294117647
6.0,0.7288112183742923,0.12815549501278625,0.007618063878773236,0.007601113073293418,0.12781412330056788,1.000000013584431,20,12.058823529411764
7.0,0.6712509757302901,0.1527630447304078,0.011887162715613393,0.011962962993806078,0.1521358692714328,1.000000015386269,23,13.058823529411764
8.0,0.6190583408052516,0.17339196557041414,0.017318083081284595,0.017414507714503643,0.1728171200789727,1.0000000171951458,28,14.705882352941176
9.0,0.572533625639029,0.19055546792568753,0.023303749513483973,0.023464155004153435,0.19014302099435415,1.0000000190214298,29,16.11764705882353
10.0,0.5317182832064379,0.2042119004417833,0.030084887126977468,0.030089459779229794,0.2038954903857627,1.00000002088491,33,17.470588235294116
11.0,0.4961706041228705,0.21458890336711617,0.03751309336149247,0.037331320991022786,0.2143961009812868,1.0000000227685093,35,18.647058823529413
12.0,0.46532874785042505,0.22219508944125302,0.0454563891537279,0.04503485415487775,0.2219849441279084,1.000000024672913,38,19.823529411764707
13.0,0.43870315659463516,0.22731737635127805,0.05382834027539327,0.05298082648470259,0.2271703269465475,1.000000026597276,41,20.58823529411765
14.0,0.41587042896055604,0.2304444303841509,0.0622205405787564,0.06113560619615088,0.23032902247619957,1.000000028540536,44,21.647058823529413
15.0,0.39655098318707627,0.23190975112303647,0.07047997930489104,0.06926372297867021,0.23179559396328034,1.0000000305016756,46,22.294117647058822
16.0,0.3805478341745536,0.231884812474071,0.07849980864377641,0.07728564498406651,0.23178193223444302,1.0000000324556304,48,22.705882352941178
17.0,0.36766312306659144,0.23054755898489432,0.0862042001063202,0.08512584954648945,0.23045930277476623,1.0000000344237823,50,23.11764705882353
18.0,0.3576342112146858,0.22805201590622684,0.09359717776252198,0.0927217627460031,0.22799486883089765,1.0000000364050567,52,24.11764705882353
19.0,0.35006831400203137,0.22470551364943897,0.10059729577785174,0.09994995415213727,0.22467896087158287,1.0000000383977643,54,24.764705882352942
20.0,0.3443102750396956,0.22092872062394353,0.10718428766096309,0.1067170854103352,0.22085967172051918,1.0000000404001752,55,25.176470588235293
21.0,0.33957731007599656,0.21718480040027766,0.11329679176780937,0.11290165772587012,0.21703948249665195,1.0000000424113276,56,25.941176470588236
22.0,0.3350570607892471,0.2139254114417931,0.11887582756986215,0.11845868767984233,0.21368305700462759,1.000000044430092,58,26.235294117647058
23.0,0.33000568080378295,0.21149267593697194,0.12392580979052546,0.12331808590716088,0.21125779410131915,1.0000000464844807,59,28.058823529411764
24.0,0.32403273247311554,0.21004019479829408,0.12849018099122805,0.12752760037030728,0.20990933996750333,1.0000000485451697,60,28.58823529411765
25.0,0.3171434328223513,0.2094297587463522,0.1326110053771632,0.13121597554631867,0.2095998781743508,1.0000000506112563,61,28.764705882352942
26.0,0.30953466310952893,0.2094930851426395,0.1363450555682891,0.13451949626945564,0.21010775264743478,1.000000052682072,61,29.176470588235293
27.0,0.30160225725389406,0.20996018363773386,0.13974988651806097,0.1375463632610137,0.2111413641426416,1.000000054758065,62,29.41176470588235
28.0,0.2937495338766533,0.21059578448781704,0.1429517415088049,0.14041557261670903,0.21228742437359913,1.000000056808304,62,29.11764705882353
29.0,0.2862974326754096,0.21117782638341256,0.14597131732143978,0.14322232697431395,0.21333115556299365,1.0000000588622884,62,29.176470588235293
30.0,0.27950655761275883,0.21156511210468368,0.14887620776554739,0.14597783599321315,0.21407434749873935,1.0000000609196622,62,29.0
31.0,0.27344287484450985,0.21169006872217513,0.15165835271477754,0.1487332273956711,0.21447553935862587,1.0000000629804808,62,29.0
32.0,0.2681441860269169,0.21151747138853488,0.1543397803022473,0.15148740724592366,0.21451122016770927,1.000000065076052,63,29.705882352941178
