time_fs,population_up,population_down,norm,max_rank
0.0,1.0,0.0,1.0,30.0
2.0,0.9999432362768313,5.6763723173087086e-5,1.0000000000000022,30.0
4.0,0.999773023889243,0.00022697611077030595,1.0000000000000064,30.0
6.0,0.9994895988862885,0.0005104011137333661,1.000000000000011,30.0
8.0,0.9990933536962322,0.0009066463037989534,1.000000000000015,30.0
10.0,0.9985848356539724,0.0014151643460659632,1.0000000000000189,30.0
12.0,0.9979647449546971,0.002035255045351227,1.000000000000024,30.0
14.0,0.9972339320487743,0.002766067951281053,1.0000000000000278,30.0
16.0,0.9963933944969448,0.0036066055031166466,1.0000000000000309,30.0
18.0,0.9954442733085594,0.00455572669150758,1.0000000000000333,30.0
20.0,0.9943878487891572,0.00561215121091186,1.000000000000034,30.0
22.0,0.9932255359268958,0.006774464073176027,1.0000000000000366,30.0
24.0,0.9919588793501297,0.008041120649946361,1.0000000000000377,30.0
26.0,0.9905895478910156,0.009410452109067094,1.0000000000000415,30.0
28.0,0.9891193287920776,0.01088067120800602,1.0000000000000415,30.0
30.0,0.987550121594468,0.012449878405618814,1.0000000000000435,30.0
32.0,0.985883931747802,0.01411606825229238,1.000000000000047,30.0
34.0,0.9841228639825396,0.015877136017557174,1.0000000000000488,30.0
36.0,0.9822691154862716,0.017730884513828246,1.0000000000000497,30.0
38.0,0.9803249689252921,0.019675031074808728,1.0000000000000508,30.0
40.0,0.9782927853527086,0.0217072146473961,1.000000000000053,30.0
42.0,0.976174997043487,0.023825002956620683,1.0000000000000535,30.0
44.0,0.9739741002959403,0.026025899704166845,1.000000000000053,30.0
46.0,0.9716926482377974,0.028307351762314838,1.0000000000000564,30.0
48.0,0.9693332436732794,0.03066675632683437,1.0000000000000568,30.0
50.0,0.966898532005891,0.033101467994222936,1.0000000000000564,30.0
52.0,0.9643911942693771,0.03560880573074057,1.0000000000000588,30.0
54.0,0.961813940297027,0.03818605970309309,1.00000000000006,30.0
56.0,0.9591695020571648,0.040830497942961126,1.0000000000000626,30.0
58.0,0.9564606271799275,0.04353937282020526,1.000000000000067,30.0
60.0,0.9536900726979631,0.046309927302171434,1.0000000000000673,30.0
62.0,0.9508605990208551,0.049139400979282724,1.0000000000000693,30.0
64.0,0.9479749641604304,0.05202503583971157,1.0000000000000708,30.0
66.0,0.9450359182214252,0.05496408177871751,1.0000000000000708,30.0
68.0,0.942046198169357,0.05795380183078616,1.0000000000000708,30.0
70.0,0.9390085228848326,0.06099147711531185,1.0000000000000717,30.0
72.0,0.9359255885110883,0.06407441148905443,1.0000000000000713,30.0
74.0,0.9328000640991977,0.06719993590094553,1.0000000000000715,30.0
76.0,0.9296345875531268,0.07036541244701554,1.000000000000071,30.0
78.0,0.9264317618748062,0.07356823812534091,1.0000000000000728,30.0
80.0,0.9231941517073461,0.0768058482927974,1.0000000000000722,30.0
82.0,0.9199242801729544,0.08007571982719126,1.0000000000000724,30.0
84.0,0.9166246260002449,0.08337537399990033,1.0000000000000717,30.0
86.0,0.9132976209345743,0.08670237906557142,1.0000000000000724,30.0
88.0,0.9099456474234223,0.09005435257672831,1.0000000000000742,30.0
90.0,0.9065710365680691,0.09342896343208607,1.0000000000000775,30.0
92.0,0.9031760663317252,0.09682393366843002,1.0000000000000775,30.0
94.0,0.8997629599936288,0.10023704000653261,1.0000000000000806,30.0
96.0,0.896333884837922,0.10366611516223873,1.0000000000000802,30.0
98.0,0.8928909510658682,0.10710904893429493,1.0000000000000806,30.0
100.0,0.8894362109193749,0.11056378908078895,1.0000000000000815,30.0
102.0,0.8859716580038886,0.11402834199627059,1.0000000000000797,30.0
104.0,0.8824992267984472,0.11750077320171273,1.0000000000000795,30.0
106.0,0.8790207923407907,0.12097920765936915,1.00000000000008,30.0
108.0,0.8755381700755464,0.12446182992461034,1.0000000000000782,30.0
110.0,0.8720531158536966,0.1279468841464584,1.0000000000000773,30.0
112.0,0.8685673260717647,0.13143267392838748,1.0000000000000755,30.0
114.0,0.8650824379396185,0.1349175620605326,1.000000000000075,30.0
116.0,0.861600029865938,0.13839997013421024,1.000000000000074,30.0
118.0,0.8581216219510813,0.14187837804906778,1.0000000000000742,30.0
120.0,0.8546486765772969,0.14535132342285662,1.0000000000000773,30.0
122.0,0.8511825990868582,0.14881740091329038,1.0000000000000737,30.0
124.0,0.8477247385391515,0.15227526146100168,1.0000000000000762,30.0
126.0,0.8442763885380861,0.15572361146206276,1.0000000000000733,30.0
128.0,0.840838788122039,0.15916121187810886,1.0000000000000742,30.0
130.0,0.8374131227086167,0.16258687729153246,1.0000000000000742,30.0
132.0,0.8340005250873581,0.16599947491278844,1.0000000000000728,30.0
134.0,0.8306020764538089,0.1693979235463412,1.0000000000000742,30.0
136.0,0.8272188074788269,0.1727811925213298,1.000000000000077,30.0
138.0,0.8238516994075963,0.17614830059256265,1.0000000000000793,30.0
140.0,0.82050168518309,0.17949831481707407,1.0000000000000815,30.0
142.0,0.8171696505891836,0.18283034941098128,1.000000000000082,30.0
144.0,0.8138564354090561,0.18614356459110676,1.0000000000000806,30.0
146.0,0.8105628345948087,0.18943716540534897,1.000000000000078,30.0
148.0,0.807289599444648,0.1927104005555124,1.0000000000000795,30.0
150.0,0.8040374387841978,0.19596256121596342,1.0000000000000802,30.0
152.0,0.8008070201489663,0.199192979851188,1.0000000000000773,30.0
154.0,0.7975989709651458,0.20240102903500942,1.0000000000000768,30.0
156.0,0.7944138797261295,0.20558612027402487,1.0000000000000766,30.0
158.0,0.7912522971626206,0.20874770283753738,1.000000000000078,30.0
160.0,0.7881147374041348,0.21188526259602877,1.0000000000000813,30.0
162.0,0.7850016791301265,0.21499832087004428,1.000000000000085,30.0
164.0,0.781913566709004,0.2180864332911643,1.0000000000000846,30.0
166.0,0.7788508113236172,0.22114918867654856,1.000000000000084,30.0
168.0,0.7758137920817675,0.22418620791839755,1.0000000000000824,30.0
170.0,0.7728028571106644,0.2271971428894987,1.0000000000000813,30.0
172.0,0.7698183246342206,0.2301816753659413,1.0000000000000808,30.0
174.0,0.7668604840322337,0.2331395159679304,1.0000000000000813,30.0
176.0,0.7639295968807017,0.23607040311946653,1.0000000000000828,30.0
178.0,0.7610258979724759,0.23897410202769456,1.0000000000000846,30.0
180.0,0.7581495963177014,0.24185040368247,1.000000000000085,30.0
182.0,0.7553008761234744,0.24469912387669301,1.0000000000000835,30.0
184.0,0.7524798977522928,0.24752010224787285,1.0000000000000837,30.0
186.0,0.7496867986588815,0.2503132013412816,1.000000000000082,30.0
