time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,population_site_8,population_site_9,population_site_10,population_site_11,trace,max_rank,mean_rank
0.0,1.0000007000002373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000006930153444,1,1.0
1.0,0.9887391991984305,0.005580933493547372,1.4343569403908884e-5,6.841456466530528e-6,6.836849754681432e-6,6.836847971908028e-6,6.8368478964929414e-6,6.8368496250348286e-6,6.841604631047036e-6,1.4495348175287578e-5,0.005611059001808244,1.0000010540828141,11,8.666666666666666
2.0,0.9560910314993284,0.021824253675785436,0.0001186573773957787,8.083329343848688e-8,-1.9268061981021864e-7,-1.9303764598623952e-7,-1.9303791766331878e-7,-1.9267953597870354e-7,8.250396048285641e-8,0.00012042274993077876,0.02184766294714143,1.0000014131662194,11,8.666666666666666
3.0,0.9053447307152528,0.047109983049555736,0.0005301992718550692,-3.745369635757569e-5,-4.049840687399673e-5,-4.050748372293283e-5,-4.050748350662979e-5,-4.049834620773629e-5,-3.743557014274373e-5,0.0005281849632412046,0.04672558031303121,1.0000017703412263,11,8.777777777777779
4.0,0.841450366177974,0.0779451281077898,0.0016857879746770912,-4.130432857773423e-5,-5.7928212186281964e-5,-5.802356728556101e-5,-5.802357908084393e-5,-5.792910423237088e-5,-4.131875841232599e-5,0.0016832681061423583,0.07755210823625239,1.0000021240681558,14,8.944444444444445
5.0,0.7701732203969485,0.11108726074495115,0.003967503087919672,3.138711912028492e-5,-2.7472644162849086e-5,-2.7974147419212746e-5,-2.7974136521043826e-5,-2.7458847984011725e-5,3.294307891416751e-5,0.004061325644404708,0.11075972202157809,1.0000024753328418,15,9.916666666666666
6.0,0.6972518453223666,0.14371898309629916,0.007667370761956239,0.0001688295727050114,-1.5227831041948122e-6,-3.718442955394111e-6,-3.71920838834484e-6,-1.4925922432812755e-6,0.00017232304203228306,0.007774766613667346,0.1432591664379558,1.0000028248353816,18,11.61111111111111
7.0,0.628231995989009,0.17269925878905787,0.013039904484794043,0.0004004770410976631,-4.73898501393231e-6,-1.2039416388818629e-5,-1.204131511642389e-5,-4.676470189772951e-6,0.0004082743843435428,0.013322932189216612,0.17193383303221466,1.0000031727381127,21,12.944444444444445
8.0,0.5678915127294524,0.1951357304722827,0.019949033531849517,0.0009121715102839704,9.464910298740342e-5,7.49554796527417e-5,7.495039461424655e-5,9.493919882447053e-5,0.0009342955608888616,0.020554824916393565,0.19428646354187634,1.0000035194541925,23,13.88888888888889
9.0,0.5196976780090627,0.21014884932365352,0.028047615334292633,0.0016575944400703379,0.00021122642599478907,0.0001670680932779209,0.0001670787072898754,0.00021254254172688473,0.0017074913089940582,0.02884592414668794,0.20914080414600988,1.0000038654921475,24,14.083333333333334
10.0,0.4857539877014968,0.2169379309566713,0.036544705044825355,0.0028115102158654533,0.0005152955550838455,0.0004284868140151097,0.000428524120680513,0.0005180229348206336,0.0028874468964895823,0.03724210644842348,0.21593620144389802,1.0000042111473524,25,14.305555555555555
11.0,0.46611414814800634,0.21694394079309745,0.04524455746485528,0.004146663495444697,0.0006563490115909383,0.00049479913583136,0.0004949280746203941,0.0006617244381375423,0.004231516907053503,0.04522039434655426,0.21579554194074194,1.000004556771017,27,15.166666666666666
12.0,0.4588631332292481,0.21122619315995517,0.05263704227123952,0.005753161177521147,0.0007903612537639526,0.000511326413032503,0.0005116379999125391,0.0007998866547525356,0.00587552367372646,0.052278835213933776,0.21075780864522503,1.000004902707386,28,16.11111111111111
13.0,0.46084609959547856,0.2026274046899958,0.05746660588810875,0.007782216607859342,0.001168033937029565,0.000720057305672794,0.0007207021425732882,0.0011826175383457826,0.00793461876276816,0.056915560486646956,0.20264133936444448,1.0000052493340001,30,17.0
14.0,0.46761598821385864,0.19371621637822423,0.06021348701225656,0.00989674207283205,0.001517648980824046,0.0008270313389110765,0.0008284581320656088,0.0015443274163560534,0.01011495971029607,0.05931031807616455,0.19442042669613196,1.0000055970429949,31,17.916666666666668
15.0,0.47386315985952554,0.18742682445041475,0.06132478010649678,0.01208385060782503,0.0018959254727635895,0.0008652237319511371,0.0008673469050451505,0.0019295521845174265,0.01229931895556107,0.059654600534111674,0.18779537035336397,1.0000059461766502,32,18.805555555555557
16.0,0.47462961697991773,0.18487652894293513,0.060810805732612654,0.01430080936106912,0.0023994305037891854,0.0009036104452088763,0.0009083144284937606,0.002441162806173441,0.014474215143632356,0.05866309103772093,0.1855987189156713,1.0000062973122918,36,20.055555555555557
17.0,0.46617763913522225,0.18767316349442542,0.05972062631368781,0.01605168624689019,0.003007902263185189,0.0009595665043772322,0.0009655158128828019,0.0030386978306131754,0.016183000651958636,0.05754316741248784,0.1886856920278678,1.000006650708664,40,21.86111111111111
18.0,0.4467851587322649,0.19593769650747775,0.059279259389321104,0.016911895633205495,0.0037582231204790284,0.0011171183242863968,0.0011284034959131576,0.0037918398067362576,0.017065146095916094,0.05718787267842229,0.1970443992857419,1.000007006084829,43,22.75
19.0,0.41619682918974016,0.2091746568077103,0.06083160680305758,0.016797356595976146,0.004502984677243594,0.001233788931221085,0.0012487794043828926,0.004481262421421297,0.016949326614232346,0.058529622318602474,0.21006115684025387,1.0000073636189,47,23.22222222222222
20.0,0.3757894142788496,0.2255339650476126,0.06484533206420169,0.015865052240281338,0.00520182656382335,0.0014097122106494038,0.001430109174445283,0.005142715482571151,0.015855218272924586,0.0626103976064337,0.2263239870826773,1.000007723039529,50,24.083333333333332
21.0,0.3288443464023291,0.24271846945149061,0.07168567597228435,0.014647429367892408,0.005735778967253202,0.001619379219545989,0.0016469460915603,0.005617048633881697,0.01440868182370884,0.06941461068528662,0.2436697243454367,1.000008083975727,52,24.63888888888889
22.0,0.2789709874059533,0.25827114745095936,0.08150841504067213,0.013596858690059123,0.00611739719646814,0.0019169347694353255,0.0019559240099986286,0.005881997751051287,0.01299497522246945,0.07921869106594472,0.25957512547381195,1.000008447091881,56,28.52777777777778
