time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,trace,max_rank,mean_rank
0.0,1.0000000046000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000045377984,1,1.0
1.0,0.9887366055305647,0.005610836425918486,1.4827096312701416e-5,7.008039360687886e-6,7.007984524020284e-6,1.4780701464905324e-5,0.00560894120756039,1.0000000069235042,10,7.541666666666667
2.0,0.9560571609616191,0.021840201770993356,0.00011334801624396864,-6.728422486247633e-6,-6.7334304858698394e-6,0.00011317046729162638,0.021889589999455818,1.00000000930043,10,7.541666666666667
3.0,0.9053204980209477,0.04677453516867663,0.0005388947948264287,-2.904597144023001e-5,-2.8931239513181953e-5,0.0005570634263179882,0.04686699751422391,1.0000000116518382,11,7.708333333333333
4.0,0.8413546058468774,0.07774632970572944,0.00156481837094898,-0.00015782856147011817,-0.00015728640418392835,0.0016054802476332655,0.07804389483425694,1.0000000139775913,13,8.583333333333334
5.0,0.7700223304328885,0.11104511274738495,0.003880086917568503,-0.00010896416380747156,-0.00010664814847671824,0.003983821563516667,0.11128427699466327,1.000000016281536,16,9.625
6.0,0.6971649637975004,0.1433647131485168,0.007733961413183518,1.756425185116428e-5,2.1128259588813354e-5,0.00770018143598971,0.14399750631979436,1.000000018564224,16,9.75
7.0,0.6284834688743719,0.17236651210234727,0.0129262461038566,0.0003304879542352596,0.00034174805143009386,0.013302828096987693,0.17224872971166602,1.0000000208326936,17,10.875
8.0,0.5685385828302909,0.1944942165981848,0.020176433650054684,0.0008152200565051617,0.0008466624990514795,0.020783732422482395,0.19434517509761223,1.0000000230919797,21,12.25
9.0,0.5207120502351907,0.2088709085982981,0.028750471981938506,0.0017408206277155366,0.001790971693097211,0.029483472052843386,0.20865133021745905,1.0000000253443406,23,13.375
10.0,0.487083257829842,0.21550915488402878,0.03764258097934317,0.003120557679392698,0.0031942861818432945,0.038402438058413355,0.21504775204242244,1.0000000275930834,24,13.958333333333334
11.0,0.46760380178807676,0.2150713695347038,0.046131646279634134,0.004785167463170914,0.004895713440660933,0.04743954415252083,0.21407278724550732,1.000000029842072,26,14.291666666666666
