time_fs,correlation_real_fs^-2,correlation_imag_fs^-2,max_rank,mean_rank
0.0,0.005477418208380512,-4.717936707191043e-6,30,16.22222222222222
1.0,0.005104808682160934,-0.001411357803436786,32,18.333333333333332
2.0,0.0041421551757871026,-0.0023885893584455766,33,18.833333333333332
3.0,0.0029759788776699027,-0.002745829949354253,35,19.333333333333332
4.0,0.001967982681292635,-0.0025914593381076113,36,19.666666666666668
5.0,0.001278080151082334,-0.0021693216418193053,37,19.944444444444443
6.0,0.0008775928278779127,-0.001702175151297569,39,20.72222222222222
7.0,0.0006641663947788587,-0.001280170208427073,41,22.11111111111111
8.0,0.0005530942310086257,-0.0009003622386381135,43,23.0
9.0,0.00053190193092641,-0.0005397059962156149,44,23.72222222222222
10.0,0.00060015598094366,-0.00021678684371910975,45,24.22222222222222
11.0,0.0007456970578360401,5.012231116322273e-5,45,24.666666666666668
12.0,0.0009341633857981931,0.00023127620626379333,46,25.055555555555557
13.0,0.001120768326918055,0.00033613229582709774,47,25.555555555555557
14.0,0.0012898704758780059,0.00039904827895297524,48,26.055555555555557
15.0,0.001458964864531669,0.0004475147216353665,49,26.38888888888889
16.0,0.0016585235464798914,0.0004730141606420058,49,27.11111111111111
17.0,0.0019023667029562463,0.0004381792514959122,50,27.5
18.0,0.002158326050537009,0.00029793125562559543,51,27.555555555555557
19.0,0.0023600636711325943,4.3416280852296944e-5,51,27.61111111111111
20.0,0.002438518217682807,-0.00028617886817774974,52,27.77777777777778
21.0,0.0023603586319566237,-0.0006149743097516567,52,28.166666666666668
22.0,0.0021499653480423872,-0.0008584754599196439,52,28.22222222222222
23.0,0.0018786610965626166,-0.0009684055034826234,53,28.666666666666668
24.0,0.0016219102427653175,-0.0009534135720794197,54,28.88888888888889
25.0,0.0014303399708455813,-0.0008579609192446666,54,29.166666666666668
26.0,0.0013182323928827401,-0.0007325864831070865,54,29.27777777777778
27.0,0.001272164831671822,-0.0006112133887617578,55,29.555555555555557
