time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,trace,max_rank,mean_rank
0.0,1.0000000034000003,0.0,0.0,0.0,0.0,1.0000000033447207,1,1.0
1.0,0.9886991056471782,0.005627540573349121,1.6666531978299803e-5,1.6767576369577286e-5,0.0056399248603253805,1.0000000051339206,9,6.444444444444445
2.0,0.9555189003277186,0.022062771436959776,0.0001513891305239453,0.0001524689300926231,0.022114477134443318,1.0000000069044606,10,7.944444444444445
3.0,0.9027562580312758,0.047794566958074526,0.0007154065502747375,0.0007273650031650187,0.04800641215985868,1.0000000086473704,10,7.888888888888889
4.0,0.8339585381741144,0.08082348109303149,0.002167398790161038,0.0022095166966070792,0.08084107566786887,1.000000010366503,11,8.61111111111111
5.0,0.7538895488862327,0.11893850959842349,0.004058284293371229,0.004101385760510234,0.11901228357609332,1.000000012059352,12,9.11111111111111
6.0,0.667151699925351,0.15840846541393422,0.007871932242717188,0.007837536989337094,0.15873037921653602,1.0000000137325962,15,10.277777777777779
7.0,0.5792008770077938,0.1961299540121152,0.01420882555288412,0.014200666363156266,0.19625969250784375,1.0000000153885145,16,11.166666666666666
8.0,0.4943845934326724,0.22973135888385832,0.02293744062662927,0.023236109932181132,0.2297105142119932,1.0000000170320547,17,11.61111111111111
9.0,0.4169187552698909,0.2568408278163136,0.03454857669616623,0.03504975940582579,0.2566420995349189,1.0000000186678342,18,11.944444444444445
10.0,0.349191540345175,0.2763910278207834,0.04886616314216764,0.04920230363192739,0.27634898541640496,1.0000000203011785,20,12.722222222222221
11.0,0.29259005244353564,0.2881795489911317,0.06522983290739406,0.06617629594819315,0.28782429170036317,1.0000000219353369,22,13.11111111111111
12.0,0.2476490391527683,0.29261043750525734,0.0835924426255862,0.08382473751183807,0.29232336683493393,1.0000000235751052,24,13.833333333333334
13.0,0.2135782743104282,0.2905199104520662,0.10300260832027798,0.10263579789241406,0.290263434299997,1.0000000252199053,25,14.333333333333334
14.0,0.18951061039334288,0.28280360207577776,0.1228755249022899,0.12127183922923221,0.28353845032588487,1.0000000268712497,25,14.666666666666666
15.0,0.1733295735634871,0.2721410032852513,0.14302248933281597,0.13840527649122075,0.273101685914509,1.0000000285320039,25,15.166666666666666
16.0,0.16296826784267496,0.2582830089925865,0.16242064790139696,0.15588149670608975,0.26044660881768056,1.00000003020515,28,17.11111111111111
17.0,0.155772055695019,0.24339835559022888,0.18088152203133778,0.17338676820194363,0.2465613304297445,1.0000000318929945,29,17.444444444444443
18.0,0.1500158375260179,0.22773669426928317,0.1997755834267372,0.19056646024088553,0.23190545818976213,1.0000000335974077,30,17.88888888888889
19.0,0.14393498691031978,0.21213103663874874,0.21872794787591396,0.20777391932130213,0.21743214462787397,1.0000000353188783,31,18.444444444444443
20.0,0.13728355809340004,0.19676758033018124,0.2375574452981311,0.22502151494122885,0.20336993844925486,1.0000000370569169,32,18.666666666666668
21.0,0.12965789290903035,0.18191325015740598,0.2564676519283474,0.2432383377018557,0.18872290616821988,1.000000038809578,33,18.77777777777778
22.0,0.12127588244024815,0.16703149616720733,0.2757893715555817,0.2623848855744136,0.1735184048858297,1.0000000405680018,34,18.61111111111111
23.0,0.11223198006798989,0.151839270002733,0.29536056238636915,0.2827630448266996,0.15780518511303646,1.000000042341549,35,19.944444444444443
24.0,0.10355536592370772,0.1363836217040586,0.31489756181609146,0.30381879625669894,0.1413446984743388,1.000000044119618,35,19.88888888888889
25.0,0.09543441370287242,0.12080207652778113,0.3342283035617084,0.32491218226631774,0.12462306989570572,1.0000000458991052,36,20.27777777777778
26.0,0.0884035253019057,0.10558837804038972,0.3526976370703189,0.34504780740987195,0.10826269990944525,1.0000000476766506,36,20.333333333333332
27.0,0.08264992709262103,0.09143129592498009,0.3695782654018131,0.36396274158386505,0.09237781950217135,1.0000000494501708,37,20.5
28.0,0.07828064115862007,0.07864960211818114,0.38439658698010215,0.38071504240131826,0.07795817861466751,1.0000000512176104,37,20.666666666666668
29.0,0.07543469573098126,0.06780391392117317,0.3965433017328878,0.3949223077934425,0.06529583385512208,1.0000000529783275,38,20.88888888888889
30.0,0.07375392515242855,0.05958653915809366,0.4055693110862013,0.40589030435103607,0.05519997503915319,1.0000000547316321,38,20.944444444444443
31.0,0.07311796634174132,0.05427402527678961,0.41127661969617746,0.4131949765639032,0.048136468654370414,1.0000000564777032,38,20.944444444444443
32.0,0.07323847960322055,0.05236167836705095,0.41346606596411384,0.41654999228031625,0.04438384205819814,1.0000000582176194,39,21.0
33.0,0.07369979640428603,0.053854649587347835,0.41201414485453985,0.41594445368581645,0.044487015475496654,1.000000059952207,39,20.944444444444443
34.0,0.07453271914471177,0.05876474086500512,0.40717267474305036,0.4116129264184017,0.0479170005671896,1.0000000616830784,39,21.0
35.0,0.07593563698663888,0.06640929496502629,0.39937233481307854,0.40368803220486915,0.05459476449767256,1.0000000634120079,39,21.11111111111111
36.0,0.07758363937749133,0.07648231342414312,0.3891376381324151,0.39263949375066126,0.06415698051144812,1.000000065140881,39,21.11111111111111
37.0,0.08011553559505982,0.08815690783526253,0.376774747321262,0.3791527589243259,0.07580011725106411,1.000000066871695,39,21.11111111111111
38.0,0.0837939913583269,0.1007843519666064,0.362731099367599,0.3638562339872632,0.08883439198197883,1.0000000686064956,39,21.11111111111111
39.0,0.08861037545326768,0.11330883158579591,0.34820992914281323,0.34737015597790344,0.10250077824243815,1.0000000703469387,39,21.0
40.0,0.09536529486893643,0.12509532938559625,0.3333996246064534,0.3305739658008123,0.11556585748376534,1.0000000720902829,39,20.61111111111111
41.0,0.10419881864923294,0.13546658760314345,0.31876212515557667,0.3139310405635623,0.12764150192619542,1.0000000738424297,39,20.555555555555557
42.0,0.11484032661023647,0.1440227919218936,0.3051052239052795,0.29820874468031355,0.13782298854213956,1.0000000756045817,39,20.555555555555557
